Commodity,Exporter,Destination,Tons,Year
RUBBER,16,4,0.024065657,2013
RUBBER,16,9,0.75392641,2013
RUBBER,16,10,0.146942713,2013
RUBBER,16,11,0.208024044,2013
RUBBER,16,19,0.024574416,2013
RUBBER,16,21,4.450198939,2013
RUBBER,16,27,0.267983977,2013
RUBBER,16,33,0.840268125,2013
RUBBER,16,38,33.42119593,2013
RUBBER,16,40,0.040720669,2013
RUBBER,16,41,207.3507803,2013
RUBBER,16,44,0.031629524,2013
RUBBER,16,48,0.192878807,2013
RUBBER,16,54,0.014409384,2013
RUBBER,16,56,0.041908501,2013
RUBBER,16,57,0.29332812,2013
RUBBER,16,58,0.024561556,2013
RUBBER,16,59,1.435458019,2013
RUBBER,16,67,0.79811241,2013
RUBBER,16,68,2.31206219,2013
RUBBER,16,79,8.290877338,2013
RUBBER,16,84,0.041898376,2013
RUBBER,16,89,0.035115596,2013
RUBBER,16,95,0.048960998,2013
RUBBER,16,96,0.018710695,2013
RUBBER,16,97,1.002584736,2013
RUBBER,16,98,0.026441614,2013
RUBBER,16,100,501.7719386,2013
RUBBER,16,101,0.224363124,2013
RUBBER,16,102,7.525095295,2013
RUBBER,16,103,0.039614945,2013
RUBBER,16,105,0.101170138,2013
RUBBER,16,106,2.137378483,2013
RUBBER,16,110,1.647788826,2013
RUBBER,16,112,0.087935478,2013
RUBBER,16,114,0.089342244,2013
RUBBER,16,116,0.17488505,2013
RUBBER,16,117,3.696736736,2013
RUBBER,16,118,2.584319247,2013
RUBBER,16,119,0.031593881,2013
RUBBER,16,126,0.174147664,2013
RUBBER,16,131,123.6343669,2013
RUBBER,16,134,0.088173715,2013
RUBBER,16,138,1.710387403,2013
RUBBER,16,143,0.025204317,2013
RUBBER,16,149,0.117998055,2013
RUBBER,16,150,0.32008668,2013
RUBBER,16,154,0.054606103,2013
RUBBER,16,156,0.122653889,2013
RUBBER,16,159,0.011608368,2013
RUBBER,16,162,0.012039212,2013
RUBBER,16,165,23.24672075,2013
RUBBER,16,167,2.991182236,2013
RUBBER,16,170,0.12806186,2013
RUBBER,16,171,0.010124355,2013
RUBBER,16,173,1.449011508,2013
RUBBER,16,174,1.857980169,2013
RUBBER,16,179,0.121056241,2013
RUBBER,16,181,0.033491522,2013
RUBBER,16,183,0.511165168,2013
RUBBER,16,185,1.852535413,2013
RUBBER,16,198,0.07324451,2013
RUBBER,16,199,1.820076526,2013
RUBBER,16,200,0.063043109,2013
RUBBER,16,201,0.073695487,2013
RUBBER,16,202,1.312208341,2013
RUBBER,16,203,0.703321513,2013
RUBBER,16,210,0.269081416,2013
RUBBER,16,211,0.026593498,2013
RUBBER,16,214,1.574679052,2013
RUBBER,16,216,0.066589347,2013
RUBBER,16,222,0.481135112,2013
RUBBER,16,223,53.35309386,2013
RUBBER,16,225,0.461701568,2013
RUBBER,16,229,0.861213324,2013
RUBBER,16,230,0.137770201,2013
RUBBER,16,231,5.11987025,2013
RUBBER,16,234,0.260296175,2013
RUBBER,16,236,0.159386806,2013
RUBBER,16,237,0.477471435,2013
RUBBER,16,238,0.352019478,2013
RUBBER,16,256,0.986426197,2013
RUBBER,16,272,0.583970936,2013
RUBBER,16,273,0.032107568,2013
RUBBER,21,9,57.40636782,2013
RUBBER,21,10,0.012435575,2013
RUBBER,21,19,57.15652475,2013
RUBBER,21,33,0.318968336,2013
RUBBER,21,38,0.010341173,2013
RUBBER,21,40,2.841685869,2013
RUBBER,21,41,0.156513578,2013
RUBBER,21,44,29.72772161,2013
RUBBER,21,48,0.073963789,2013
RUBBER,21,58,8.625791827,2013
RUBBER,21,59,3.60086542,2013
RUBBER,21,60,0.011035229,2013
RUBBER,21,67,0.015663191,2013
RUBBER,21,68,0.017385103,2013
RUBBER,21,79,0.072162008,2013
RUBBER,21,89,0.399241047,2013
RUBBER,21,97,0.023294317,2013
RUBBER,21,100,0.027168807,2013
RUBBER,21,102,0.011884751,2013
RUBBER,21,105,0.015779808,2013
RUBBER,21,106,0.017903623,2013
RUBBER,21,109,0.016330536,2013
RUBBER,21,110,9.065869032,2013
RUBBER,21,117,0.011044537,2013
RUBBER,21,131,0.218032087,2013
RUBBER,21,138,19.98621831,2013
RUBBER,21,150,0.010726949,2013
RUBBER,21,165,0.015640859,2013
RUBBER,21,167,0.014390398,2013
RUBBER,21,170,0.455335185,2013
RUBBER,21,173,0.020885234,2013
RUBBER,21,199,0.016272222,2013
RUBBER,21,200,0.040099098,2013
RUBBER,21,202,0.469314074,2013
RUBBER,21,203,0.450365544,2013
RUBBER,21,214,0.013980117,2013
RUBBER,21,223,0.037281974,2013
RUBBER,21,229,0.033155504,2013
RUBBER,21,231,194.9569011,2013
RUBBER,21,236,43.59732358,2013
RUBBER,21,256,0.02353281,2013
RUBBER,28,1,0.048418749,2013
RUBBER,28,3,0.040431793,2013
RUBBER,28,4,1.040386416,2013
RUBBER,28,9,90.6019945,2013
RUBBER,28,10,14.89148338,2013
RUBBER,28,11,23.62082812,2013
RUBBER,28,13,0.216229593,2013
RUBBER,28,16,2.248695038,2013
RUBBER,28,19,4.624282094,2013
RUBBER,28,20,0.20856832,2013
RUBBER,28,21,536.2298384,2013
RUBBER,28,27,30.59632748,2013
RUBBER,28,33,100.6478023,2013
RUBBER,28,38,1.811683367,2013
RUBBER,28,40,3.835200573,2013
RUBBER,28,41,48567.65096,2013
RUBBER,28,44,2.260928319,2013
RUBBER,28,48,23.56372401,2013
RUBBER,28,49,0.269709587,2013
RUBBER,28,52,0.6648084,2013
RUBBER,28,54,1.713226451,2013
RUBBER,28,56,5.152950414,2013
RUBBER,28,57,35.83294079,2013
RUBBER,28,58,0.975153705,2013
RUBBER,28,59,116.5644963,2013
RUBBER,28,60,0.110948417,2013
RUBBER,28,63,0.918858424,2013
RUBBER,28,67,97.87104561,2013
RUBBER,28,68,262.8542317,2013
RUBBER,28,72,0.010018562,2013
RUBBER,28,73,0.021083658,2013
RUBBER,28,79,941.3376319,2013
RUBBER,28,80,0.36988516,2013
RUBBER,28,81,0.022666526,2013
RUBBER,28,84,4.944389718,2013
RUBBER,28,89,3.82367688,2013
RUBBER,28,95,0.238279299,2013
RUBBER,28,96,1.791772519,2013
RUBBER,28,97,83.747336,2013
RUBBER,28,98,3.001298418,2013
RUBBER,28,99,0.017626543,2013
RUBBER,28,100,187.1675788,2013
RUBBER,28,101,29.23075967,2013
RUBBER,28,102,834.5398231,2013
RUBBER,28,103,0.177454118,2013
RUBBER,28,104,0.985110541,2013
RUBBER,28,105,4.996524568,2013
RUBBER,28,106,183.4960563,2013
RUBBER,28,108,0.97196781,2013
RUBBER,28,109,0.050133739,2013
RUBBER,28,110,154.6300786,2013
RUBBER,28,112,4.763024765,2013
RUBBER,28,114,1.125506012,2013
RUBBER,28,116,40.76835438,2013
RUBBER,28,117,3361.78854,2013
RUBBER,28,118,26.95047013,2013
RUBBER,28,119,3.885214641,2013
RUBBER,28,121,0.034934307,2013
RUBBER,28,122,0.35210282,2013
RUBBER,28,126,21.36823309,2013
RUBBER,28,131,15205.08165,2013
RUBBER,28,133,0.079089654,2013
RUBBER,28,134,10.0307547,2013
RUBBER,28,136,0.536572351,2013
RUBBER,28,137,0.59659661,2013
RUBBER,28,138,180.6195519,2013
RUBBER,28,143,1.298130015,2013
RUBBER,28,144,0.116260365,2013
RUBBER,28,146,0.012014507,2013
RUBBER,28,147,0.587945275,2013
RUBBER,28,149,0.161561498,2013
RUBBER,28,150,37.17394327,2013
RUBBER,28,153,0.018000678,2013
RUBBER,28,154,0.285489472,2013
RUBBER,28,156,6.916973778,2013
RUBBER,28,157,0.036929956,2013
RUBBER,28,159,0.459846746,2013
RUBBER,28,162,1.157769049,2013
RUBBER,28,165,71.17463025,2013
RUBBER,28,167,359.8158451,2013
RUBBER,28,170,9.417377664,2013
RUBBER,28,171,0.990441009,2013
RUBBER,28,173,162.6555648,2013
RUBBER,28,174,226.7075029,2013
RUBBER,28,178,0.515182088,2013
RUBBER,28,179,1.976908438,2013
