EXPORTER,YEAR,dfrs_risk,sum_soy_vol,dfrs_risk_per_ton,dfrs_risk_per_000ton
ABC INDUSTRIA,2006,481.64358655933654,154405.87956758277,0.0031193344962522833,3.119334496252283
ABC INDUSTRIA,2007,552.288880168158,311515.7000692317,0.0017729086529039036,1.7729086529039035
ABC INDUSTRIA,2008,3348.1170099716073,370400.01136895246,0.00903919251405361,9.03919251405361
ABC INDUSTRIA,2009,4441.258139956457,361599.6402278592,0.012282252651462353,12.282252651462354
ABC INDUSTRIA,2010,2023.0693199929592,357467.8009437586,0.005659444891684817,5.659444891684816
ABC INDUSTRIA,2011,1490.8408915302552,462224.4164213235,0.0032253616177889974,3.225361617788997
ABC INDUSTRIA,2012,3983.2426128296433,546638.6588873323,0.007286792743377174,7.286792743377174
ABC INDUSTRIA,2013,4825.936556798347,644974.9737740421,0.007482362499368922,7.482362499368922
ABC INDUSTRIA,2014,1594.8344678020408,528505.6983276075,0.0030176296544175436,3.0176296544175436
ABC INDUSTRIA,2015,4025.514901455501,699000.2344169109,0.005758960731699164,5.7589607316991644
ABC INDUSTRIA,2016,519.0336162757529,777485.5956896599,6.675797200015647e-4,0.6675797200015647
ADM,2006,1287.1387743998523,1195379.6589118727,0.0010767614831019509,1.076761483101951
ADM,2007,140.3548001668671,1276899.4562580972,1.0991844305280796e-4,0.10991844305280796
ADM,2008,5346.72342556888,1761399.7780105688,0.0030354968203798642,3.0354968203798642
ADM,2009,8397.455489553638,2371766.4057133524,0.0035405912948783627,3.5405912948783627
ADM,2010,2947.941559099095,2936899.5075106313,0.0010037597648677543,1.0037597648677543
ADM,2011,2495.965089750647,3215266.5278906818,7.762855950197325e-4,0.7762855950197325
ADM,2012,12142.363032234633,4163973.844102408,0.002916051706096165,2.916051706096165
ADM,2013,8947.171588917308,3835771.3754389305,0.0023325612277643832,2.332561227764383
ADM,2014,2890.353127304607,3726066.8911092863,7.757115510194507e-4,0.7757115510194507
ADM,2015,2213.442384489725,4057789.5330243204,5.454798398181138e-4,0.5454798398181138
ADM,2016,1585.4940256421387,3453218.317250078,4.591351834669766e-4,0.45913518346697657
AGAP BRASIL TRADING,2006,3.956974841544191,1558.20895600068,0.0025394378759702524,2.5394378759702523
AGAP BRASIL TRADING,2007,46.952402003962895,175454.6060949614,2.676042712640489e-4,0.2676042712640489
AGAP BRASIL TRADING,2008,404.50566335955466,314422.87253422255,0.001286502028619204,1.286502028619204
AGAP BRASIL TRADING,2009,58.48460520313863,81864.52545339729,7.14407185276264e-4,0.714407185276264
AGAP BRASIL TRADING,2010,0.16390929231103737,8747.839496392226,1.8737117019423672e-5,0.018737117019423672
AGRENCO,2006,2467.9475434898354,167661.57400001088,0.01471981614278341,14.71981614278341
AGRENCO,2007,29.961141728580532,158276.2183671419,1.8929654775477284e-4,0.18929654775477284
AGRENCO,2008,18.85685077052484,151656.08512704825,1.2433955917250347e-4,0.12433955917250347
AGREX,2010,0.8632261185808867,75250.0000000381,1.1471443436285046e-5,0.011471443436285046
AGREX,2011,711.7569557644969,312980.5233730244,0.002274125393151677,2.274125393151677
AGREX,2012,3191.333796633889,358230.572933399,0.00890860255310261,8.908602553102611
AGREX,2013,1520.6310893330137,409796.90362245915,0.003710694433977355,3.710694433977355
AGREX,2014,1585.3113352099563,552870.3700000258,0.0028674196000228447,2.8674196000228447
AGREX,2015,3570.247696986163,810133.892881831,0.004406984732222445,4.406984732222445
AGREX,2016,1717.982762891677,858648.6560000071,0.0020007982902982184,2.0007982902982184
AGROINDUSTRIAL SANTA JULIANA,2014,31.946521046802054,144013.4874154936,2.2183006342060921e-4,0.2218300634206092
AGROINDUSTRIAL SANTA JULIANA,2015,0,144633.9085039503,0,0
AGROINDUSTRIAL SANTA JULIANA,2016,0,39734.328378,0,0
AMAGGI,2006,5938.6407135471745,2443237.256649341,0.0024306443008696725,2.4306443008696723
AMAGGI,2007,579.1451175820393,2131600.934169665,2.716949070054884e-4,0.27169490700548843
AMAGGI,2008,2514.483299984613,2183051.069198148,0.0011518206493026308,1.1518206493026308
AMAGGI,2009,2320.4488846875706,2797119.5687084794,8.295851599075534e-4,0.8295851599075534
AMAGGI,2010,1404.0142578505308,2215891.3737737415,6.336115003053804e-4,0.6336115003053804
AMAGGI,2011,452.73802631532675,2050042.3645879326,2.2084325384481949e-4,0.22084325384481948
AMAGGI,2012,4251.809367892241,2385167.9257355984,0.001782603783161708,1.782603783161708
AMAGGI,2013,1020.3644452555519,1996466.668126465,5.110851393342258e-4,0.5110851393342258
AMAGGI,2014,923.289682652071,2401841.888757189,3.8440901833459935e-4,0.38440901833459934
AMAGGI,2015,1191.4347676805744,2929260.955752482,4.0673561887370773e-4,0.40673561887370774
AMAGGI,2016,616.2763493887126,2964829.546548641,2.0786232048520972e-4,0.20786232048520972
AMAGGI & LD COMMODITIES,2011,1501.02415743274,320222.81400002545,0.004687436659127668,4.687436659127668
AMAGGI & LD COMMODITIES,2012,4678.178893996435,372880.7469999507,0.012546045703982283,12.546045703982283
AMAGGI & LD COMMODITIES,2013,7520.027135597817,371607.6300000137,0.020236471289885892,20.23647128988589
AMAGGI & LD COMMODITIES,2014,1739.6074336111146,344339.03399986075,0.005052019265442379,5.052019265442379
AMAGGI & LD COMMODITIES,2015,4365.027571562776,804365.0780001294,0.005426674641837289,5.426674641837289
AMAGGI & LD COMMODITIES,2016,1548.613888075517,424458.5000000302,0.003648445933054484,3.648445933054484
BIOSEV,2007,2.025721179602126,14590.423392435878,1.388390950088756e-4,0.13883909500887562
BIOSEV,2008,43.91882614556334,144661.7183417924,3.0359674037464614e-4,0.3035967403746461
BIOSEV,2009,108.23063420186847,233355.78464359193,4.6380094826948843e-4,0.4638009482694884
BIOSEV,2010,32.29237481038401,23403.50383256069,0.0013798094097968554,1.3798094097968554
