EXPORTER,YEAR,dfrs_risk,sum_soy_vol,dfrs_risk_per_ton,dfrs_risk_per_000ton
AMAGGI,2006,5938.6407135471745,2443237.256649341,0.0024306443008696725,2.4306443008696723
AMAGGI,2007,579.1451175820393,2131600.934169665,2.716949070054884e-4,0.27169490700548843
AMAGGI,2008,2514.483299984613,2183051.069198148,0.0011518206493026308,1.1518206493026308
AMAGGI,2009,2320.4488846875706,2797119.5687084794,8.295851599075534e-4,0.8295851599075534
AMAGGI,2010,1404.0142578505308,2215891.3737737415,6.336115003053804e-4,0.6336115003053804
AMAGGI,2011,452.73802631532675,2050042.3645879326,2.2084325384481949e-4,0.22084325384481948
AMAGGI,2012,4251.809367892241,2385167.9257355984,0.001782603783161708,1.782603783161708
AMAGGI,2013,1020.3644452555519,1996466.668126465,5.110851393342258e-4,0.5110851393342258
AMAGGI,2014,923.289682652071,2401841.888757189,3.8440901833459935e-4,0.38440901833459934
AMAGGI,2015,1191.4347676805744,2929260.955752482,4.0673561887370773e-4,0.40673561887370774
AMAGGI,2016,616.2763493887126,2964829.546548641,2.0786232048520972e-4,0.20786232048520972
AMAGGI & LD COMMODITIES,2011,1501.02415743274,320222.81400002545,0.004687436659127668,4.687436659127668
AMAGGI & LD COMMODITIES,2012,4678.178893996435,372880.7469999507,0.012546045703982283,12.546045703982283
AMAGGI & LD COMMODITIES,2013,7520.027135597817,371607.6300000137,0.020236471289885892,20.23647128988589
AMAGGI & LD COMMODITIES,2014,1739.6074336111146,344339.03399986075,0.005052019265442379,5.052019265442379
AMAGGI & LD COMMODITIES,2015,4365.027571562776,804365.0780001294,0.005426674641837289,5.426674641837289
AMAGGI & LD COMMODITIES,2016,1548.613888075517,424458.5000000302,0.003648445933054484,3.648445933054484
LOUIS DREYFUS,2006,367.5797017236664,1081418.4030217447,3.3990516593444294e-4,0.3399051659344429
LOUIS DREYFUS,2007,279.7937234831133,977135.8467019676,2.863406602341671e-4,0.2863406602341671
LOUIS DREYFUS,2008,227.03183234714237,1330536.3688303656,1.7063181260255157e-4,0.17063181260255159
LOUIS DREYFUS,2009,282.6622014517204,1950667.6119051385,1.4490536456677805e-4,0.14490536456677805
LOUIS DREYFUS,2010,1226.1702769572428,2020587.7747327196,6.068384122137128e-4,0.6068384122137128
LOUIS DREYFUS,2011,77.78092165807858,2412938.1410255167,3.223494226214233e-5,0.03223494226214233
LOUIS DREYFUS,2012,1248.946894964629,2002325.5437285176,6.237481706590892e-4,0.6237481706590892
LOUIS DREYFUS,2013,150.66239979540862,2055121.7945104286,7.331069146259501e-5,0.07331069146259502
LOUIS DREYFUS,2014,1073.4742844445382,2169121.195289742,4.948890300715299e-4,0.4948890300715299
LOUIS DREYFUS,2015,375.42816555486985,1753405.3119959405,2.141137379853786e-4,0.2141137379853786
LOUIS DREYFUS,2016,12.8922834373363,1208431.0446226199,1.0668613235902444e-5,0.010668613235902444
