ZDC,YEAR,BIOME,total_soy_tons
Company-specific pledges,2005,AMAZONIA,0
Soy Moratorium,2005,AMAZONIA,0
none,2005,AMAZONIA,2004817.323666998
Company-specific pledges,2005,CERRADO,0
Soy Moratorium,2005,CERRADO,0
none,2005,CERRADO,15724629.366255008
Company-specific pledges,2005,MATA ATLANTICA,0
Soy Moratorium,2005,MATA ATLANTICA,0
none,2005,MATA ATLANTICA,9552572.154705297
Company-specific pledges,2005,PAMPA,0
Soy Moratorium,2005,PAMPA,0
none,2005,PAMPA,810527.329516572
Company-specific pledges,2006,AMAZONIA,0
Soy Moratorium,2006,AMAZONIA,1557112.436829874
none,2006,AMAZONIA,216168.263678377
Company-specific pledges,2006,CERRADO,0
Soy Moratorium,2006,CERRADO,0
none,2006,CERRADO,13092541.493463937
Company-specific pledges,2006,MATA ATLANTICA,0
Soy Moratorium,2006,MATA ATLANTICA,0
none,2006,MATA ATLANTICA,11285747.214375582
Company-specific pledges,2006,PAMPA,0
Soy Moratorium,2006,PAMPA,0
none,2006,PAMPA,1727604.090772568
Company-specific pledges,2007,AMAZONIA,0
Soy Moratorium,2007,AMAZONIA,1113741.894913082
none,2007,AMAZONIA,122916.69264065199
Company-specific pledges,2007,CERRADO,0
Soy Moratorium,2007,CERRADO,0
none,2007,CERRADO,11743071.553315574
Company-specific pledges,2007,MATA ATLANTICA,0
Soy Moratorium,2007,MATA ATLANTICA,0
none,2007,MATA ATLANTICA,13602769.6200144
Company-specific pledges,2007,PAMPA,0
Soy Moratorium,2007,PAMPA,0
none,2007,PAMPA,2537745.063696728
Company-specific pledges,2008,AMAZONIA,0
Soy Moratorium,2008,AMAZONIA,1474785.214852687
none,2008,AMAZONIA,298330.000069941
Company-specific pledges,2008,CERRADO,0
Soy Moratorium,2008,CERRADO,0
none,2008,CERRADO,15784077.394498024
Company-specific pledges,2008,MATA ATLANTICA,0
Soy Moratorium,2008,MATA ATLANTICA,0
none,2008,MATA ATLANTICA,12276911.664253049
Company-specific pledges,2008,PAMPA,0
Soy Moratorium,2008,PAMPA,0
none,2008,PAMPA,2156487.685394627
Company-specific pledges,2009,AMAZONIA,0
Soy Moratorium,2009,AMAZONIA,2214732.566538993
none,2009,AMAZONIA,221356.886762668
Company-specific pledges,2009,CERRADO,0
Soy Moratorium,2009,CERRADO,0
none,2009,CERRADO,19185312.476733785
Company-specific pledges,2009,MATA ATLANTICA,0
Soy Moratorium,2009,MATA ATLANTICA,0
none,2009,MATA ATLANTICA,13246651.0314057
Company-specific pledges,2009,PAMPA,0
Soy Moratorium,2009,PAMPA,0
none,2009,PAMPA,2304813.25082905
Company-specific pledges,2010,AMAZONIA,0
Soy Moratorium,2010,AMAZONIA,2078537.832770905
none,2010,AMAZONIA,373761.785647987
Company-specific pledges,2010,CERRADO,0
Soy Moratorium,2010,CERRADO,0
none,2010,CERRADO,20567891.716728978
Company-specific pledges,2010,MATA ATLANTICA,0
Soy Moratorium,2010,MATA ATLANTICA,0
none,2010,MATA ATLANTICA,15292709.248740667
Company-specific pledges,2010,PAMPA,0
Soy Moratorium,2010,PAMPA,0
none,2010,PAMPA,2810209.990166274
Company-specific pledges,2011,AMAZONIA,0
Soy Moratorium,2011,AMAZONIA,2692739.837495771
none,2011,AMAZONIA,558523.498675225
Company-specific pledges,2011,CERRADO,0
Soy Moratorium,2011,CERRADO,0
none,2011,CERRADO,21427686.156119805
Company-specific pledges,2011,MATA ATLANTICA,0
Soy Moratorium,2011,MATA ATLANTICA,0
none,2011,MATA ATLANTICA,18528167.305947326
Company-specific pledges,2011,PAMPA,0
Soy Moratorium,2011,PAMPA,0
none,2011,PAMPA,3100286.504046762
Company-specific pledges,2012,AMAZONIA,0
Soy Moratorium,2012,AMAZONIA,3280612.036417859
none,2012,AMAZONIA,543356.713521897
Company-specific pledges,2012,CERRADO,0
Soy Moratorium,2012,CERRADO,0
none,2012,CERRADO,23113997.16916754
Company-specific pledges,2012,MATA ATLANTICA,0
Soy Moratorium,2012,MATA ATLANTICA,0
none,2012,MATA ATLANTICA,15635061.644924475
Company-specific pledges,2012,PAMPA,0
Soy Moratorium,2012,PAMPA,0
none,2012,PAMPA,1849267.815098785
Company-specific pledges,2013,AMAZONIA,0
Soy Moratorium,2013,AMAZONIA,3621001.547671069
none,2013,AMAZONIA,813968.483174949
Company-specific pledges,2013,CERRADO,0
Soy Moratorium,2013,CERRADO,0
none,2013,CERRADO,22746420.6053703
Company-specific pledges,2013,MATA ATLANTICA,0
Soy Moratorium,2013,MATA ATLANTICA,0
none,2013,MATA ATLANTICA,19695350.453082092
Company-specific pledges,2013,PAMPA,0
Soy Moratorium,2013,PAMPA,0
none,2013,PAMPA,4692695.307555473
Company-specific pledges,2014,AMAZONIA,0
Soy Moratorium,2014,AMAZONIA,4964167.719868339
none,2014,AMAZONIA,787353.1659097819
Company-specific pledges,2014,CERRADO,3147063.712292571
Soy Moratorium,2014,CERRADO,0
none,2014,CERRADO,20670161.11241239
Company-specific pledges,2014,MATA ATLANTICA,2477544.039505343
